page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank,bias_label_5_class
4Chan.org,https://mediabiasfactcheck.com/4chan-bias/,EXTREME-RIGHT,VERY LOW,USA,Website,High Traffic,LOW CREDIBILITY,http://4chan.org,4chan.org,fake-news,,right
100% Fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://100percentfedup.com/,100percentfedup.com,fake-news,,right
24Jours.com,https://mediabiasfactcheck.com/24jours-com/,RIGHT-CENTER,LOW,Cameroon,Website,Minimal Traffic,LOW CREDIBILITY,https://www.24jours.com/,24jours.com,fake-news,,rightcenter
24 News,https://mediabiasfactcheck.com/24-news/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://us24news.com,us24news.com,fake-news,,right
2020 Conservative,https://mediabiasfactcheck.com/2020-conservative-bias/,EXTREME-RIGHT,VERY LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://2020conservative.com/,2020conservative.com,fake-news,,right
A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men/,RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.avoiceformen.com/,avoiceformen.com,fake-news,,right
Acting Man,https://mediabiasfactcheck.com/acting-man/,RIGHT,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://acting-man.com/,acting-man.com,fake-news,,right
Activist Mommy,https://mediabiasfactcheck.com/activist-mommy/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://elizabethjohnston.org/,elizabethjohnston.org,fake-news,,right
Ada Reporter,https://mediabiasfactcheck.com/ada-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://adareporter.com/,adareporter.com,fake-news,,rightcenter
Adams County Times,https://mediabiasfactcheck.com/adams-county-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://adamscountytimes.com/,adamscountytimes.com,fake-news,,rightcenter
Al Arabiya,https://mediabiasfactcheck.com/al-arabiya/,RIGHT-CENTER,MIXED,Saudi Arabia,TV Station,High Traffic,LOW CREDIBILITY,https://english.alarabiya.net/,alarabiya.net,fake-news,TOTAL OPPRESSION,rightcenter
Albany Standard,https://mediabiasfactcheck.com/albany-standard/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://albanystandard.com/,albanystandard.com,fake-news,,rightcenter
Al Bawaba,https://mediabiasfactcheck.com/al-bawaba/,RIGHT-CENTER,MIXED,Jordan,Website,Medium Traffic,LOW CREDIBILITY,https://www.albawaba.com/,albawaba.com,fake-news,LIMITED FREEDOM,rightcenter
All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,RIGHT-CENTER,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://allnewspipeline.com/,allnewspipeline.com,fake-news,,rightcenter
Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://www.adflegal.org/,adflegal.org,fake-news,,right
Al Manar,https://mediabiasfactcheck.com/al-manar/,RIGHT-CENTER,MIXED,Lebanon,TV Station,Medium Traffic,LOW CREDIBILITY,https://english.almanar.com.lb,almanar.com.lb,fake-news,,rightcenter
Al- Masdar News,https://mediabiasfactcheck.com/al-masdar-news-amn/,RIGHT,MIXED,Lebanon,Website,Minimal Traffic,LOW CREDIBILITY,https://www.almasdarnews.com,almasdarnews.com,fake-news,,right
Aloha State News,https://mediabiasfactcheck.com/aloha-state-news/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://alohastatenews.com/,alohastatenews.com,fake-news,,rightcenter
Alpha News,https://mediabiasfactcheck.com/alpha-news/,FAR RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://alphanews.org/,alphanews.org,fake-news,,right
Alt-Right TV,https://mediabiasfactcheck.com/alt-right-tv/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://altrighttv.com/,altrighttv.com,fake-news,,right
Al Youm Al Sabea,https://mediabiasfactcheck.com/al-youm-al-sabea-youm7-bias/,RIGHT-CENTER,MIXED,Egypt,Newspaper,High Traffic,LOW CREDIBILITY,https://www.youm7.com/,youm7.com,fake-news,,rightcenter
America Max News,https://mediabiasfactcheck.com/america-max-news/,RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americamaxnews.com/,americamaxnews.com,fake-news,MOSTLY FREE,right
America Out Loud,https://mediabiasfactcheck.com/america-out-loud/,FAR RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americaoutloud.com/,americaoutloud.com,fake-news,MOSTLY FREE,right
American Action News,https://mediabiasfactcheck.com/american-action-news/,RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americanactionnews.com/,americanactionnews.com,fake-news,,right
American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,FAR-RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.acpeds.org/,acpeds.org,fake-news,,right
American Conservative Movement,https://mediabiasfactcheck.com/american-conservative-movement-acm/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanconservativemovement.com/,americanconservativemovement.com,fake-news,,right
American Family Association,https://mediabiasfactcheck.com/american-family-association/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://www.afa.net/,afa.net,fake-news,,right
American Family News,https://mediabiasfactcheck.com/onenewsnow/,FAR RIGHT,LOW,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://afn.net/,afn.net,fake-news,,right
American Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://americasfreedomfighters.com,americasfreedomfighters.com,fake-news,,right
American Gulag,https://mediabiasfactcheck.com/american-gulag/,EXTREME-RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americangulag.org/,americangulag.org,fake-news,,right
American Liberty Report,https://mediabiasfactcheck.com/american-liberty-report/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americanlibertyemail.com/,americanlibertyemail.com,fake-news,,right
American Lookout,https://mediabiasfactcheck.com/american-lookout/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanlookout.com/,americanlookout.com,fake-news,,right
American Partisan,https://mediabiasfactcheck.com/american-partisan-bias/,FAR RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,americanpartisan.org,americanpartisan.org,fake-news,MOSTLY FREE,right
American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americanpatriotdaily.com/,americanpatriotdaily.com,fake-news,,right
American People Daily,https://mediabiasfactcheck.com/american-people-daily/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americanpeopledaily.com/,americanpeopledaily.com,fake-news,MOSTLY FREE,right
American Principles Project,https://mediabiasfactcheck.com/american-principles-project/,EXTREME RIGHT,LOW,USA,Organization/Foundations,Minimal Traffic,LOW CREDIBILITY,https://americanprinciplesproject.org/,americanprinciplesproject.org,fake-news,,right
American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.amren.com,amren.com,fake-news,,right
"American Society for the Defense of Tradition, Family, and Property",https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.tfp.org/,tfp.org,fake-news,,right
American Thinker,https://mediabiasfactcheck.com/american-thinker/,EXTREME RIGHT,LOW,USA,Website,High Traffic,LOW CREDIBILITY,https://www.americanthinker.com,americanthinker.com,fake-news,,right
American Web Media,https://mediabiasfactcheck.com/american-web-media-awm/,RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://awm.com,awm.com,fake-news,,right
Americans for Truth,https://mediabiasfactcheck.com/americans-for-truth-aftah/,EXTREME RIGHT,VERY LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://americansfortruth.com,americansfortruth.com,fake-news,,right
America’s News Source,https://mediabiasfactcheck.com/americas-news-source/,RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://americasnewssource.com/,americasnewssource.com,fake-news,,right
Ames Today,https://mediabiasfactcheck.com/ames-today-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://amestoday.com/,amestoday.com,fake-news,,rightcenter
Analyzing America,https://mediabiasfactcheck.com/analyzing-america/,EXTREME RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.analyzingamerica.org/,analyzingamerica.org,fake-news,,right
Anderson Reporter,https://mediabiasfactcheck.com/anderson-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://andersonreporter.com/,andersonreporter.com,fake-news,,rightcenter
Ann Arbor Times,https://mediabiasfactcheck.com/ann-arbor-times-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://annarbortimes.com/,annarbortimes.com,fake-news,,rightcenter
Anne Arundel Today,https://mediabiasfactcheck.com/anne-arundel-today-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://annearundeltoday.com/,annearundeltoday.com,fake-news,,rightcenter
Antelope Valley Today,https://mediabiasfactcheck.com/antelope-valley-today/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://antelopevalleytoday.com/,antelopevalleytoday.com,fake-news,,rightcenter
Arab News,https://mediabiasfactcheck.com/arab-news/,RIGHT-CENTER,MIXED,Saudi Arabia,Newspaper,High Traffic,LOW CREDIBILITY,https://www.arabnews.com/,arabnews.com,fake-news,,rightcenter
Aroostook News,https://mediabiasfactcheck.com/aroostook-news-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://aroostooknews.com/,aroostooknews.com,fake-news,,rightcenter
Association of American Physicians and Surgeons,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,EXTREME RIGHT,LOW,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://aapsonline.org/,aapsonline.org,fake-news,,right
Athens Reporter,https://mediabiasfactcheck.com/athens-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://athensreporter.com/,athensreporter.com,fake-news,,rightcenter
ATL Standard,https://mediabiasfactcheck.com/atl-standard/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://atlstandard.com/,atlstandard.com,fake-news,,rightcenter
Auburn Times,https://mediabiasfactcheck.com/auburn-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://auburntimes.com/,auburntimes.com,fake-news,,rightcenter
Baldwin Times,https://mediabiasfactcheck.com/baldwin-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://baldwintimes.com/,baldwintimes.com,fake-news,,rightcenter
Baltimore City Wire,https://mediabiasfactcheck.com/baltimore-city-wire-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://baltimorecitywire.com/,baltimorecitywire.com,fake-news,,rightcenter
Bare Naked Islam,https://mediabiasfactcheck.com/bare-naked-islam/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.barenakedislam.com/,barenakedislam.com,fake-news,,right
Basnews Agency,https://mediabiasfactcheck.com/basnews-agency/,LEFT,MIXED,Iraq,News Agency,Medium Traffic,LOW CREDIBILITY,http://www.basnews.com/,basnews.com,fake-news,,left
Baton Rouge Reporter,https://mediabiasfactcheck.com/baton-rouge-reporter-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://batonrougereporter.com/,batonrougereporter.com,fake-news,,rightcenter
Battle Creek Times,https://mediabiasfactcheck.com/battle-creek-times-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://battlecreektimes.com/,battlecreektimes.com,fake-news,,rightcenter
Bay State News,https://mediabiasfactcheck.com/bay-state-news-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://baystatenews.com/,baystatenews.com,fake-news,,rightcenter
BB4SP,https://mediabiasfactcheck.com/bb4sp/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://bb4sp.com/,bb4sp.com,fake-news,,right
Bbarta24,https://mediabiasfactcheck.com/bbarta24/,LEFT-CENTER,MIXED,Bangladesh,Website,Minimal Traffic,LOW CREDIBILITY,http://en.bbarta24.net/,bbarta24.net,fake-news,TOTAL OPPRESSION,leftcenter
BDnews24.com,https://mediabiasfactcheck.com/bdnews24/,LEFT-CENTER,MIXED,Bangladesh,Website,High Traffic,LOW CREDIBILITY,https://bdnews24.com/,bdnews24.com,fake-news,,leftcenter
Beach Broadcast News,https://mediabiasfactcheck.com/beach-broadcast-news-bias/,EXTREME-RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.beachbroadcastnews.com/,beachbroadcastnews.com,fake-news,,right
Bean Town Times,https://mediabiasfactcheck.com/bean-town-times-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://beantowntimes.com/,beantowntimes.com,fake-news,,rightcenter
Becker News,https://mediabiasfactcheck.com/becker-news/,FAR RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://beckernews.com/,beckernews.com,fake-news,,right
Before It’s News,https://mediabiasfactcheck.com/before-its-news/,EXTREME RIGHT,LOW,USA,Website,High Traffic,LOW CREDIBILITY,http://beforeitsnews.com/,beforeitsnews.com,fake-news,,right
Beijing Review,https://mediabiasfactcheck.com/beijing-review/,LEFT-CENTER,MIXED,USA,Magazine,Minimal Traffic,LOW CREDIBILITY,http://www.bjreview.com/,bjreview.com,fake-news,,leftcenter
Benton Times,https://mediabiasfactcheck.com/benton-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bentontimes.com/,bentontimes.com,fake-news,,rightcenter
Big Island Times,https://mediabiasfactcheck.com/big-island-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bigislandtimes.com/,bigislandtimes.com,fake-news,,rightcenter
Big League Politics,https://mediabiasfactcheck.com/big-league-politics/,EXTREME RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://bigleaguepolitics.com/,bigleaguepolitics.com,fake-news,,right
BillionBibles.org,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,RIGHT,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://www.billionbibles.org,billionbibles.org,fake-news,,right
Bipartisan Report,https://mediabiasfactcheck.com/bipartisan-report/,EXTREME LEFT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://bipartisanreport.com,bipartisanreport.com,fake-news,MOSTLY FREE,left
BitChute,https://mediabiasfactcheck.com/bitchute/,EXTREME RIGHT,VERY LOW,United Kingdom,Website,High Traffic,LOW CREDIBILITY,https://www.bitchute.com/,bitchute.com,fake-news,MOSTLY FREE,right
Black Eye Politics,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,EXTREME,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://blackeyepolitics.com/,blackeyepolitics.com,fake-news,MOSTLY FREE,right
Black Genocide,https://mediabiasfactcheck.com/black-genocide/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://www.blackgenocide.org,blackgenocide.org,fake-news,,right
Blacknews.com,https://mediabiasfactcheck.com/blacknews-com/,LEFT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.blacknews.com/,blacknews.com,fake-news,,left
Black Pigeon Speaks,https://mediabiasfactcheck.com/black-pigeon-speaks/,EXTREME RIGHT,LOW,Canada,Website/Video,Medium Traffic,LOW CREDIBILITY,http://blackpigeonspeaks.com/,blackpigeonspeaks.com,fake-news,MOSTLY FREE,right
Bloomington Leader,https://mediabiasfactcheck.com/bloomington-leader/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bloomingtonleader.com/,bloomingtonleader.com,fake-news,,rightcenter
Bluegrass Times,https://mediabiasfactcheck.com/bluegrass-times-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bluegrasstimes.com/,bluegrasstimes.com,fake-news,,rightcenter
Blue State Blues News,https://mediabiasfactcheck.com/blue-states-blues-news-bias/,FAR RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://bluestatebluesnews.com/,bluestatebluesnews.com,fake-news,,right
Blunt Force Truth,https://mediabiasfactcheck.com/blunt-force-truth/,EXTREME-RIGHT,LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://bluntforcetruth.com,bluntforcetruth.com,fake-news,,right
Boise City Wire,https://mediabiasfactcheck.com/boise-city-wire/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://boisecitywire.com/,boisecitywire.com,fake-news,,rightcenter
Bongino.com,https://mediabiasfactcheck.com/bongino-com/,FAR RIGHT,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://bongino.com,bongino.com,fake-news,MOSTLY FREE,right
Boston Broadside,https://mediabiasfactcheck.com/boston-broadside-bias/,RIGHT,MIXED,USA,Newspaper,Minimal Traffic,LOW CREDIBILITY,www,www.,fake-news,MOSTLY FREE,right
Bowling Green Today,https://mediabiasfactcheck.com/bowling-green-today-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bowlinggreentoday.com/,bowlinggreentoday.com,fake-news,,rightcenter
Bossip,https://mediabiasfactcheck.com/bossip/,EXTREME LEFT,MIXED,USA,Magazine,High Traffic,LOW CREDIBILITY,https://bossip.com/,bossip.com,fake-news,,left
Breaking Christian News,https://mediabiasfactcheck.com/breaking-christian-news/,EXTREME RIGHT,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.breakingchristiannews.com/,breakingchristiannews.com,fake-news,,right
Breaking First,https://mediabiasfactcheck.com/breaking-first/,EXTREME RIGHT,VERY LOW,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://breakingfirst.com/,breakingfirst.com,fake-news,,right
Breitbart,https://mediabiasfactcheck.com/breitbart/,RIGHT,MIXED,USA,Website,High Traffic,LOW CREDIBILITY,https://www.breitbart.com/,breitbart.com,fake-news,,right
Brevard Sun,https://mediabiasfactcheck.com/brevard-sun/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://brevardsun.com/,brevardsun.com,fake-news,MOSTLY FREE,rightcenter
Bridgeport Times,https://mediabiasfactcheck.com/bridgeport-times/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bridgeporttimes.com/,bridgeporttimes.com,fake-news,,rightcenter
Bristol Reporter,https://mediabiasfactcheck.com/bristol-reporter-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://bristolreporter.com/,bristolreporter.com,fake-news,,rightcenter
Britain First,https://mediabiasfactcheck.com/britain-first/,EXTREME RIGHT,LOW,United Kingdom,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.britainfirst.org/,britainfirst.org,fake-news,MOSTLY FREE,right
C19aspirin.com,https://mediabiasfactcheck.com/c19aspirin-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19aspirin.com/,c19aspirin.com,fake-news,,right
C19bromhexine.com,https://mediabiasfactcheck.com/c19bromhexine-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19bromhexine.com/,c19bromhexine.com,fake-news,,right
C19budesonide.com,https://mediabiasfactcheck.com/c19budesonide-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19budesonide.com/,c19budesonide.com,fake-news,,right
C19colchicine.com,https://mediabiasfactcheck.com/c19colchicine-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19colchicine.com/,c19colchicine.com,fake-news,,right
C19curcumin.com,https://mediabiasfactcheck.com/c19curcumin-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19curcumin.com/,c19curcumin.com,fake-news,,right
c19ly.com – Bamlanivimab,https://mediabiasfactcheck.com/c19ly-com-bamlanivimab-credible-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19ly.com/,c19ly.com,fake-news,,right
C19favipiravir.com,https://mediabiasfactcheck.com/c19favipiravir-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19favipiravir.com/,c19favipiravir.com,fake-news,,right
C19fluvoxamine.com,https://mediabiasfactcheck.com/c19fluvoxamine-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19fluvoxamine.com/,c19fluvoxamine.com,fake-news,,right
C19hcq.com,https://mediabiasfactcheck.com/c19hcq-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19hcq.com,c19hcq.com,fake-news,,right
C19ic.com,https://mediabiasfactcheck.com/c19ic-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19ic.com/,c19ic.com,fake-news,,right
C19ivermectin.com,https://mediabiasfactcheck.com/c19ivermectin-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19ivermectin.com/,c19ivermectin.com,fake-news,,right
C19melatonin.com,https://mediabiasfactcheck.com/c19melatonin-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19melatonin.com/,c19melatonin.com,fake-news,,right
C19mp.com – Molnupiravir,https://mediabiasfactcheck.com/c19mp-com-molnupiravir-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19mp.com/,c19mp.com,fake-news,,right
C19nitazoxanide.com,https://mediabiasfactcheck.com/c19nitazoxanide-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19nitazoxanide.com/,c19nitazoxanide.com,fake-news,,right
C19ns.com – Nigella Sativa,https://mediabiasfactcheck.com/c19ns-com-nigella-sativa-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19ns.com/,c19ns.com,fake-news,,right
C19proxalutamide.com,https://mediabiasfactcheck.com/c19proxalutamide-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19proxalutamide.com/,c19proxalutamide.com,fake-news,,right
C19pvpi.com,https://mediabiasfactcheck.com/c19pvpi-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19pvpi.com/,c19pvpi.com,fake-news,,right
C19quercetin.com,https://mediabiasfactcheck.com/c19quercetin-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19quercetin.com/,c19quercetin.com,fake-news,,right
C19regn.com,https://mediabiasfactcheck.com/c19regn-com/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19regn.com/,c19regn.com,fake-news,,right
C19rmd.com – Remdesivir,https://mediabiasfactcheck.com/c19rmd-com-remdesivir-for-covid-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,C19rmd.com,c19rmd.com,fake-news,,right
C19sv.com – Sotrovimab,https://mediabiasfactcheck.com/c19sv-com-sotrovimab-for-covid-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19sv.com/,c19sv.com,fake-news,,right
C19VitaminC.com,https://mediabiasfactcheck.com/c19vitaminc-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19vitaminc.com/,c19vitaminc.com,fake-news,,right
C19VitaminD.com,https://mediabiasfactcheck.com/c19vitamind-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19vitamind.com/,c19vitamind.com,fake-news,,right
C19Zinc.com,https://mediabiasfactcheck.com/c19zinc-com-bias/,RIGHT,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://c19zinc.com/,c19zinc.com,fake-news,,right
Caixin Global,https://mediabiasfactcheck.com/caixin-global/,RIGHT-CENTER,MIXED,China,Magazine,Medium Traffic,LOW CREDIBILITY,https://www.caixinglobal.com/,caixinglobal.com,fake-news,TOTAL OPPRESSION,rightcenter
Caldron Pool,https://mediabiasfactcheck.com/caldron-pool/,EXTREME RIGHT,MIXED,Australia,Website,Minimal Traffic,LOW CREDIBILITY,https://caldronpool.com/,caldronpool.com,fake-news,,right
Canada Free Press,https://mediabiasfactcheck.com/canada-free-press/,EXTREME RIGHT,LOW,Canada,Website,Medium Traffic,LOW CREDIBILITY,https://canadafreepress.com/,canadafreepress.com,fake-news,MOSTLY FREE,right
Cape Cod Ledger,https://mediabiasfactcheck.com/cape-cod-ledger-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://capecodledger.com/,capecodledger.com,fake-news,,rightcenter
Capitol News,https://mediabiasfactcheck.com/capitol-news-bias/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://micapitolnews.com/,micapitolnews.com,fake-news,,rightcenter
Carbondale Reporter,https://mediabiasfactcheck.com/carbondale-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://carbondalereporter.com/,carbondalereporter.com,fake-news,,rightcenter
CCTV International,https://mediabiasfactcheck.com/cctv-america/,LEFT-CENTER,MIXED,China,TV Station,High Traffic,LOW CREDIBILITY,https://english.cctv.com/,cctv.com,fake-news,,leftcenter
CDA Reporter,https://mediabiasfactcheck.com/cda-reporter/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://cdareporter.com/,cdareporter.com,fake-news,,rightcenter
Cedar Rapids Today,https://mediabiasfactcheck.com/cedar-rapids-today/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://cedarrapidstoday.com/,cedarrapidstoday.com,fake-news,,rightcenter
Centennial State News,https://mediabiasfactcheck.com/centennial-state-news/,RIGHT-CENTER,MIXED,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://centennialstatenews.com/,centennialstatenews.com,fake-news,,rightcenter
